MSA,Year,Unemployment Rate
"Dallas-Fort Worth-Arlington, TX (MSA)",1990,5.2
"Seattle-Tacoma-Bellevue, WA (MSA)",1990,4.0
"Austin-Round Rock, TX (MSA)",1990,4.9
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1990,6.4
"St. Louis, MO-IL (MSA)",1990,6.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1990,5.1
"Las Vegas-Henderson-Paradise, NV (MSA)",1990,4.5
"Detroit-Warren-Dearborn, MI (MSA)",1990,7.9
"Denver-Aurora-Lakewood, CO (MSA)",1990,4.5
"Jacksonville, FL (MSA)",1990,5.4
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1990,4.9
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1990,4.0
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1990,4.4
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990,5.4
"Kansas City, MO-KS (MSA)",1990,4.9
"Cincinnati, OH-KY-IN (MSA)",1990,4.5
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1990,7.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1990,3.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1990,4.3
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1990,5.4
"Pittsburgh, PA (MSA)",1990,5.2
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1990,3.5
"Memphis, TN-MS-AR (MSA)",1990,5.0
"San Francisco-Oakland-Hayward, CA (MSA)",1990,3.6
"Orlando-Kissimmee-Sanford, FL (MSA)",1990,5.8
"Cleveland-Elyria, OH (MSA)",1990,5.3
"Indianapolis-Carmel-Anderson, IN (MSA)",1990,3.6
"Raleigh, NC (MSA)",1990,2.9
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1990,4.1
"Reno, NV (MSA)",1990,4.8
"Birmingham-Hoover, AL (MSA)",1990,5.4
"San Antonio-New Braunfels, TX (MSA)",1990,6.9
"Richmond, VA (MSA)",1990,4.0
"Albuquerque, NM (MSA)",1990,5.6
"Grand Rapids-Wyoming, MI (MSA)",1990,6.1
"Omaha-Council Bluffs, NE-IA (MSA)",1990,2.8
"Baltimore-Columbia-Towson, MD (MSA)",1990,4.8
"Rochester, NY (MSA)",1990,3.8
"San Diego-Carlsbad, CA (MSA)",1990,4.6
"Flint, MI (MSA)",1990,9.5
"Lexington-Fayette, KY (MSA)",1990,4.1
"Tucson, AZ (MSA)",1990,4.5
"Oklahoma City, OK (MSA)",1990,5.1
"Boise City, ID (MSA)",1990,4.6
"Ames, IA (MSA)",1990,3.8
"Madison, WI (MSA)",1990,2.5
"New Orleans-Metairie, LA (MSA)",1990,6.4
"Columbus, OH (MSA)",1990,4.1
"Bismarck, ND (MSA)",1990,4.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1990,5.0
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1990,5.3
"Visalia-Porterville, CA (MSA)",1990,12.3
"Salt Lake City, UT (MSA)",1990,3.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",1990,4.9
"Dallas-Fort Worth-Arlington, TX (MSA)",1991,6.4
"Seattle-Tacoma-Bellevue, WA (MSA)",1991,4.8
"Austin-Round Rock, TX (MSA)",1991,4.5
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1991,7.4
"St. Louis, MO-IL (MSA)",1991,6.8
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1991,6.8
"Las Vegas-Henderson-Paradise, NV (MSA)",1991,6.1
"Detroit-Warren-Dearborn, MI (MSA)",1991,9.8
"Denver-Aurora-Lakewood, CO (MSA)",1991,4.6
"Jacksonville, FL (MSA)",1991,6.6
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1991,5.0
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1991,4.6
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1991,5.1
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1991,7.3
"Kansas City, MO-KS (MSA)",1991,5.6
"Cincinnati, OH-KY-IN (MSA)",1991,5.3
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1991,8.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1991,4.5
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1991,5.2
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1991,7.4
"Pittsburgh, PA (MSA)",1991,6.2
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1991,5.6
"Memphis, TN-MS-AR (MSA)",1991,6.1
"San Francisco-Oakland-Hayward, CA (MSA)",1991,5.1
"Orlando-Kissimmee-Sanford, FL (MSA)",1991,7.2
"Cleveland-Elyria, OH (MSA)",1991,6.3
"Indianapolis-Carmel-Anderson, IN (MSA)",1991,4.3
"Raleigh, NC (MSA)",1991,3.8
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1991,6.0
"Reno, NV (MSA)",1991,5.3
"Birmingham-Hoover, AL (MSA)",1991,6.0
"San Antonio-New Braunfels, TX (MSA)",1991,6.6
"Richmond, VA (MSA)",1991,5.6
"Albuquerque, NM (MSA)",1991,5.9
"Grand Rapids-Wyoming, MI (MSA)",1991,7.4
"Omaha-Council Bluffs, NE-IA (MSA)",1991,3.2
"Baltimore-Columbia-Towson, MD (MSA)",1991,6.7
"Rochester, NY (MSA)",1991,5.0
"San Diego-Carlsbad, CA (MSA)",1991,6.4
"Flint, MI (MSA)",1991,12.0
"Lexington-Fayette, KY (MSA)",1991,4.1
"Tucson, AZ (MSA)",1991,4.3
"Oklahoma City, OK (MSA)",1991,5.0
"Boise City, ID (MSA)",1991,5.2
"Ames, IA (MSA)",1991,3.9
"Madison, WI (MSA)",1991,3.0
"New Orleans-Metairie, LA (MSA)",1991,7.4
"Columbus, OH (MSA)",1991,4.5
"Bismarck, ND (MSA)",1991,4.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1991,7.0
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1991,7.1
"Visalia-Porterville, CA (MSA)",1991,18.3
"Salt Lake City, UT (MSA)",1991,4.4
"Davenport-Moline-Rock Island, IA-IL (MSA)",1991,5.9
"Dallas-Fort Worth-Arlington, TX (MSA)",1992,7.0
"Seattle-Tacoma-Bellevue, WA (MSA)",1992,5.9
"Austin-Round Rock, TX (MSA)",1992,4.2
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1992,8.0
"St. Louis, MO-IL (MSA)",1992,6.4
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1992,7.5
"Las Vegas-Henderson-Paradise, NV (MSA)",1992,6.8
"Detroit-Warren-Dearborn, MI (MSA)",1992,9.5
"Denver-Aurora-Lakewood, CO (MSA)",1992,5.4
"Jacksonville, FL (MSA)",1992,7.1
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1992,6.2
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1992,4.5
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1992,6.6
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1992,9.1
"Kansas City, MO-KS (MSA)",1992,5.2
"Cincinnati, OH-KY-IN (MSA)",1992,6.2
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1992,9.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1992,5.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1992,6.6
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1992,9.1
"Pittsburgh, PA (MSA)",1992,6.9
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1992,6.1
"Memphis, TN-MS-AR (MSA)",1992,6.3
"San Francisco-Oakland-Hayward, CA (MSA)",1992,6.3
"Orlando-Kissimmee-Sanford, FL (MSA)",1992,7.9
"Cleveland-Elyria, OH (MSA)",1992,7.4
"Indianapolis-Carmel-Anderson, IN (MSA)",1992,4.8
"Raleigh, NC (MSA)",1992,4.1
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1992,7.2
"Reno, NV (MSA)",1992,6.4
"Birmingham-Hoover, AL (MSA)",1992,6.5
"San Antonio-New Braunfels, TX (MSA)",1992,6.2
"Richmond, VA (MSA)",1992,6.5
"Albuquerque, NM (MSA)",1992,5.3
"Grand Rapids-Wyoming, MI (MSA)",1992,7.4
"Omaha-Council Bluffs, NE-IA (MSA)",1992,3.4
"Baltimore-Columbia-Towson, MD (MSA)",1992,7.3
"Rochester, NY (MSA)",1992,5.6
"San Diego-Carlsbad, CA (MSA)",1992,7.3
"Flint, MI (MSA)",1992,12.0
"Lexington-Fayette, KY (MSA)",1992,3.9
"Tucson, AZ (MSA)",1992,5.5
"Oklahoma City, OK (MSA)",1992,5.1
"Boise City, ID (MSA)",1992,5.1
"Ames, IA (MSA)",1992,3.6
"Madison, WI (MSA)",1992,2.7
"New Orleans-Metairie, LA (MSA)",1992,9.0
"Columbus, OH (MSA)",1992,5.4
"Bismarck, ND (MSA)",1992,4.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1992,7.6
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1992,7.6
"Visalia-Porterville, CA (MSA)",1992,17.6
"Salt Lake City, UT (MSA)",1992,4.5
"Davenport-Moline-Rock Island, IA-IL (MSA)",1992,6.5
"Dallas-Fort Worth-Arlington, TX (MSA)",1993,6.2
"Seattle-Tacoma-Bellevue, WA (MSA)",1993,6.0
"Austin-Round Rock, TX (MSA)",1993,3.6
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1993,7.7
"St. Louis, MO-IL (MSA)",1993,6.0
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1993,6.7
"Las Vegas-Henderson-Paradise, NV (MSA)",1993,6.9
"Detroit-Warren-Dearborn, MI (MSA)",1993,7.3
"Denver-Aurora-Lakewood, CO (MSA)",1993,4.9
"Jacksonville, FL (MSA)",1993,5.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1993,5.2
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1993,4.2
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1993,5.1
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1993,8.4
"Kansas City, MO-KS (MSA)",1993,5.1
"Cincinnati, OH-KY-IN (MSA)",1993,6.0
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1993,8.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1993,4.6
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1993,5.8
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1993,9.3
"Pittsburgh, PA (MSA)",1993,6.9
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1993,5.0
"Memphis, TN-MS-AR (MSA)",1993,5.8
"San Francisco-Oakland-Hayward, CA (MSA)",1993,6.4
"Orlando-Kissimmee-Sanford, FL (MSA)",1993,6.4
"Cleveland-Elyria, OH (MSA)",1993,6.4
"Indianapolis-Carmel-Anderson, IN (MSA)",1993,4.0
"Raleigh, NC (MSA)",1993,3.3
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1993,7.2
"Reno, NV (MSA)",1993,6.0
"Birmingham-Hoover, AL (MSA)",1993,5.9
"San Antonio-New Braunfels, TX (MSA)",1993,5.4
"Richmond, VA (MSA)",1993,5.1
"Albuquerque, NM (MSA)",1993,6.5
"Grand Rapids-Wyoming, MI (MSA)",1993,5.8
"Omaha-Council Bluffs, NE-IA (MSA)",1993,3.2
"Baltimore-Columbia-Towson, MD (MSA)",1993,6.8
"Rochester, NY (MSA)",1993,5.0
"San Diego-Carlsbad, CA (MSA)",1993,7.8
"Flint, MI (MSA)",1993,10.3
"Lexington-Fayette, KY (MSA)",1993,3.6
"Tucson, AZ (MSA)",1993,4.1
"Oklahoma City, OK (MSA)",1993,4.6
"Boise City, ID (MSA)",1993,4.8
"Ames, IA (MSA)",1993,3.1
"Madison, WI (MSA)",1993,2.5
"New Orleans-Metairie, LA (MSA)",1993,9.1
"Columbus, OH (MSA)",1993,5.2
"Bismarck, ND (MSA)",1993,4.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1993,6.8
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1993,6.8
"Visalia-Porterville, CA (MSA)",1993,18.2
"Salt Lake City, UT (MSA)",1993,3.6
"Davenport-Moline-Rock Island, IA-IL (MSA)",1993,5.7
"Dallas-Fort Worth-Arlington, TX (MSA)",1994,5.4
"Seattle-Tacoma-Bellevue, WA (MSA)",1994,5.1
"Austin-Round Rock, TX (MSA)",1994,3.3
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1994,6.0
"St. Louis, MO-IL (MSA)",1994,4.9
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1994,5.3
"Las Vegas-Henderson-Paradise, NV (MSA)",1994,6.2
"Detroit-Warren-Dearborn, MI (MSA)",1994,5.7
"Denver-Aurora-Lakewood, CO (MSA)",1994,3.9
"Jacksonville, FL (MSA)",1994,4.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1994,4.6
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1994,3.3
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1994,4.6
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1994,7.2
"Kansas City, MO-KS (MSA)",1994,4.7
"Cincinnati, OH-KY-IN (MSA)",1994,5.1
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1994,7.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1994,4.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1994,4.3
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1994,8.4
"Pittsburgh, PA (MSA)",1994,6.6
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1994,3.9
"Memphis, TN-MS-AR (MSA)",1994,5.0
"San Francisco-Oakland-Hayward, CA (MSA)",1994,5.9
"Orlando-Kissimmee-Sanford, FL (MSA)",1994,5.6
"Cleveland-Elyria, OH (MSA)",1994,5.6
"Indianapolis-Carmel-Anderson, IN (MSA)",1994,3.9
"Raleigh, NC (MSA)",1994,2.7
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1994,6.6
"Reno, NV (MSA)",1994,5.3
"Birmingham-Hoover, AL (MSA)",1994,4.7
"San Antonio-New Braunfels, TX (MSA)",1994,4.6
"Richmond, VA (MSA)",1994,4.5
"Albuquerque, NM (MSA)",1994,4.6
"Grand Rapids-Wyoming, MI (MSA)",1994,4.7
"Omaha-Council Bluffs, NE-IA (MSA)",1994,3.0
"Baltimore-Columbia-Towson, MD (MSA)",1994,5.9
"Rochester, NY (MSA)",1994,5.2
"San Diego-Carlsbad, CA (MSA)",1994,7.2
"Flint, MI (MSA)",1994,8.5
"Lexington-Fayette, KY (MSA)",1994,3.4
"Tucson, AZ (MSA)",1994,3.9
"Oklahoma City, OK (MSA)",1994,4.2
"Boise City, ID (MSA)",1994,4.1
"Ames, IA (MSA)",1994,2.9
"Madison, WI (MSA)",1994,2.6
"New Orleans-Metairie, LA (MSA)",1994,8.6
"Columbus, OH (MSA)",1994,4.2
"Bismarck, ND (MSA)",1994,3.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1994,6.1
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1994,6.1
"Visalia-Porterville, CA (MSA)",1994,16.5
"Salt Lake City, UT (MSA)",1994,3.4
"Davenport-Moline-Rock Island, IA-IL (MSA)",1994,4.6
"Dallas-Fort Worth-Arlington, TX (MSA)",1995,4.8
"Seattle-Tacoma-Bellevue, WA (MSA)",1995,5.0
"Austin-Round Rock, TX (MSA)",1995,3.0
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1995,5.4
"St. Louis, MO-IL (MSA)",1995,4.7
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1995,4.4
"Las Vegas-Henderson-Paradise, NV (MSA)",1995,5.6
"Detroit-Warren-Dearborn, MI (MSA)",1995,4.9
"Denver-Aurora-Lakewood, CO (MSA)",1995,3.6
"Jacksonville, FL (MSA)",1995,3.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1995,4.2
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1995,2.9
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1995,3.6
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1995,6.6
"Kansas City, MO-KS (MSA)",1995,4.3
"Cincinnati, OH-KY-IN (MSA)",1995,4.4
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1995,7.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1995,4.1
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1995,3.7
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1995,7.4
"Pittsburgh, PA (MSA)",1995,6.0
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1995,3.6
"Memphis, TN-MS-AR (MSA)",1995,5.1
"San Francisco-Oakland-Hayward, CA (MSA)",1995,5.4
"Orlando-Kissimmee-Sanford, FL (MSA)",1995,4.5
"Cleveland-Elyria, OH (MSA)",1995,4.5
"Indianapolis-Carmel-Anderson, IN (MSA)",1995,3.7
"Raleigh, NC (MSA)",1995,2.5
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1995,5.1
"Reno, NV (MSA)",1995,4.9
"Birmingham-Hoover, AL (MSA)",1995,4.3
"San Antonio-New Braunfels, TX (MSA)",1995,4.4
"Richmond, VA (MSA)",1995,3.8
"Albuquerque, NM (MSA)",1995,4.4
"Grand Rapids-Wyoming, MI (MSA)",1995,3.9
"Omaha-Council Bluffs, NE-IA (MSA)",1995,2.8
"Baltimore-Columbia-Towson, MD (MSA)",1995,5.5
"Rochester, NY (MSA)",1995,4.4
"San Diego-Carlsbad, CA (MSA)",1995,6.3
"Flint, MI (MSA)",1995,6.8
"Lexington-Fayette, KY (MSA)",1995,2.7
"Tucson, AZ (MSA)",1995,3.4
"Oklahoma City, OK (MSA)",1995,3.5
"Boise City, ID (MSA)",1995,4.3
"Ames, IA (MSA)",1995,2.8
"Madison, WI (MSA)",1995,2.3
"New Orleans-Metairie, LA (MSA)",1995,7.7
"Columbus, OH (MSA)",1995,3.5
"Bismarck, ND (MSA)",1995,3.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1995,5.7
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1995,5.4
"Visalia-Porterville, CA (MSA)",1995,16.7
"Salt Lake City, UT (MSA)",1995,3.0
"Davenport-Moline-Rock Island, IA-IL (MSA)",1995,4.2
"Dallas-Fort Worth-Arlington, TX (MSA)",1996,4.1
"Seattle-Tacoma-Bellevue, WA (MSA)",1996,4.6
"Austin-Round Rock, TX (MSA)",1996,3.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1996,5.3
"St. Louis, MO-IL (MSA)",1996,4.5
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1996,4.1
"Las Vegas-Henderson-Paradise, NV (MSA)",1996,5.0
"Detroit-Warren-Dearborn, MI (MSA)",1996,4.8
"Denver-Aurora-Lakewood, CO (MSA)",1996,3.8
"Jacksonville, FL (MSA)",1996,3.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1996,3.9
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1996,3.0
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1996,3.7
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1996,6.6
"Kansas City, MO-KS (MSA)",1996,4.2
"Cincinnati, OH-KY-IN (MSA)",1996,4.4
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1996,6.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1996,3.9
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1996,4.3
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1996,7.2
"Pittsburgh, PA (MSA)",1996,5.3
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1996,3.8
"Memphis, TN-MS-AR (MSA)",1996,4.5
"San Francisco-Oakland-Hayward, CA (MSA)",1996,4.6
"Orlando-Kissimmee-Sanford, FL (MSA)",1996,4.0
"Cleveland-Elyria, OH (MSA)",1996,3.8
"Indianapolis-Carmel-Anderson, IN (MSA)",1996,3.1
"Raleigh, NC (MSA)",1996,2.3
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1996,3.9
"Reno, NV (MSA)",1996,4.6
"Birmingham-Hoover, AL (MSA)",1996,3.6
"San Antonio-New Braunfels, TX (MSA)",1996,4.4
"Richmond, VA (MSA)",1996,3.8
"Albuquerque, NM (MSA)",1996,5.0
"Grand Rapids-Wyoming, MI (MSA)",1996,3.9
"Omaha-Council Bluffs, NE-IA (MSA)",1996,2.7
"Baltimore-Columbia-Towson, MD (MSA)",1996,5.4
"Rochester, NY (MSA)",1996,3.9
"San Diego-Carlsbad, CA (MSA)",1996,5.4
"Flint, MI (MSA)",1996,6.1
"Lexington-Fayette, KY (MSA)",1996,2.6
"Tucson, AZ (MSA)",1996,3.8
"Oklahoma City, OK (MSA)",1996,3.3
"Boise City, ID (MSA)",1996,4.1
"Ames, IA (MSA)",1996,2.7
"Madison, WI (MSA)",1996,2.2
"New Orleans-Metairie, LA (MSA)",1996,7.0
"Columbus, OH (MSA)",1996,3.6
"Bismarck, ND (MSA)",1996,3.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1996,5.5
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1996,5.1
"Visalia-Porterville, CA (MSA)",1996,16.4
"Salt Lake City, UT (MSA)",1996,2.9
"Davenport-Moline-Rock Island, IA-IL (MSA)",1996,4.1
"Dallas-Fort Worth-Arlington, TX (MSA)",1997,3.7
"Seattle-Tacoma-Bellevue, WA (MSA)",1997,3.9
"Austin-Round Rock, TX (MSA)",1997,3.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1997,4.9
"St. Louis, MO-IL (MSA)",1997,4.1
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1997,3.7
"Las Vegas-Henderson-Paradise, NV (MSA)",1997,4.3
"Detroit-Warren-Dearborn, MI (MSA)",1997,4.2
"Denver-Aurora-Lakewood, CO (MSA)",1997,2.9
"Jacksonville, FL (MSA)",1997,3.9
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1997,3.7
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1997,2.5
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1997,3.0
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1997,6.5
"Kansas City, MO-KS (MSA)",1997,3.8
"Cincinnati, OH-KY-IN (MSA)",1997,3.9
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1997,6.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1997,3.5
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1997,4.1
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1997,6.0
"Pittsburgh, PA (MSA)",1997,5.0
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1997,3.3
"Memphis, TN-MS-AR (MSA)",1997,4.6
"San Francisco-Oakland-Hayward, CA (MSA)",1997,3.9
"Orlando-Kissimmee-Sanford, FL (MSA)",1997,3.6
"Cleveland-Elyria, OH (MSA)",1997,3.7
"Indianapolis-Carmel-Anderson, IN (MSA)",1997,2.7
"Raleigh, NC (MSA)",1997,1.9
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1997,3.3
"Reno, NV (MSA)",1997,3.9
"Birmingham-Hoover, AL (MSA)",1997,3.6
"San Antonio-New Braunfels, TX (MSA)",1997,4.1
"Richmond, VA (MSA)",1997,3.4
"Albuquerque, NM (MSA)",1997,4.5
"Grand Rapids-Wyoming, MI (MSA)",1997,3.2
"Omaha-Council Bluffs, NE-IA (MSA)",1997,2.6
"Baltimore-Columbia-Towson, MD (MSA)",1997,5.3
"Rochester, NY (MSA)",1997,4.0
"San Diego-Carlsbad, CA (MSA)",1997,4.3
"Flint, MI (MSA)",1997,5.3
"Lexington-Fayette, KY (MSA)",1997,2.5
"Tucson, AZ (MSA)",1997,3.3
"Oklahoma City, OK (MSA)",1997,3.2
"Boise City, ID (MSA)",1997,3.8
"Ames, IA (MSA)",1997,2.6
"Madison, WI (MSA)",1997,2.1
"New Orleans-Metairie, LA (MSA)",1997,5.8
"Columbus, OH (MSA)",1997,3.3
"Bismarck, ND (MSA)",1997,3.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1997,4.8
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1997,5.3
"Visalia-Porterville, CA (MSA)",1997,15.4
"Salt Lake City, UT (MSA)",1997,2.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",1997,3.3
"Dallas-Fort Worth-Arlington, TX (MSA)",1998,3.4
"Seattle-Tacoma-Bellevue, WA (MSA)",1998,3.7
"Austin-Round Rock, TX (MSA)",1998,2.7
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1998,4.6
"St. Louis, MO-IL (MSA)",1998,4.1
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1998,3.3
"Las Vegas-Henderson-Paradise, NV (MSA)",1998,4.0
"Detroit-Warren-Dearborn, MI (MSA)",1998,4.0
"Denver-Aurora-Lakewood, CO (MSA)",1998,3.0
"Jacksonville, FL (MSA)",1998,3.3
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1998,3.3
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1998,2.1
