MSA,Primary City in MSA,,Year,Studio Rental Price,1BR Rental Price,2BR Rental Price,3BR Rental Price,4BR Rental Price
"Raleigh-Cary, NC MSA",Raleigh,NC,2008,685,755,840,1089,1226
"Raleigh-Cary, NC MSA",Raleigh,NC,2007,735,811,902,1170,1317
"Raleigh-Cary, NC MSA",Raleigh,NC,2006,707,779,867,1124,1266
"Richmond, VA MSA",Richmond,VA,2022,1097,1120,1276,1670,2001
"Richmond, VA MSA",Richmond,VA,2021,1069,1098,1252,1655,1981
"Richmond, VA MSA",Richmond,VA,2020,963,998,1136,1510,1806
"Richmond, VA MSA",Richmond,VA,2019,950,996,1140,1518,1831
"Richmond, VA MSA",Richmond,VA,2018,924,970,1114,1482,1800
"Richmond, VA MSA",Richmond,VA,2017,886,929,1072,1421,1731
"Richmond, VA MSA",Richmond,VA,2016,847,889,1029,1359,1659
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2015,797,838,993,1306,1582
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2014,790,830,984,1294,1568
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2013,786,826,979,1287,1560
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2012,729,789,882,1177,1405
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2011,791,857,958,1278,1526
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2010,768,832,930,1241,1481
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2009,764,828,925,1234,1474
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2008,719,779,870,1161,1386
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2007,651,705,788,1051,1255
"Richmond, VA HUD Metro FMR Area",Richmond,VA,2006,625,678,757,1010,1206
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2022,1153,1306,1639,2242,2761
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2021,1035,1199,1506,2077,2567
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2020,946,1113,1394,1935,2396
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2019,895,1068,1335,1861,2310
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2018,833,1003,1253,1754,2172
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2017,800,957,1197,1682,2072
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2016,798,945,1187,1672,2056
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2015,788,908,1153,1629,1987
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2014,766,882,1120,1582,1930
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2013,763,879,1116,1577,1924
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2012,886,974,1149,1617,1886
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2011,945,1032,1204,1710,1999
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2010,938,1024,1195,1697,1984
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2009,952,1040,1213,1722,2014
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2008,896,979,1142,1622,1896
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2007,765,835,974,1383,1617
"Riverside-San Bernardino-Ontario, CA MSA",Riverside,CA,2006,715,781,911,1294,1512
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2022,1189,1319,1657,2354,2819
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2021,1138,1276,1606,2298,2781
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2020,1025,1154,1453,2096,2551
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2019,916,1040,1311,1896,2303
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2018,807,916,1157,1683,2038
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2017,768,876,1105,1609,1947
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento,CA,2016,754,869,1094,1594,1910
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2015,726,865,1086,1600,1923
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2014,717,854,1072,1580,1899
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2013,717,855,1073,1581,1900
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2012,736,837,1021,1473,1689
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2011,797,909,1083,1578,1839
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2010,789,899,1072,1562,1820
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2009,790,901,1074,1565,1824
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2008,760,866,1032,1504,1752
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2007,768,875,1043,1520,1771
"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",Sacramento,CA,2006,742,846,1008,1469,1712
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2022,992,1195,1425,1979,2219
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2021,889,1073,1291,1812,2029
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2020,839,1024,1249,1752,1986
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2019,751,923,1140,1610,1832
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2018,705,881,1093,1557,1785
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2017,675,837,1042,1500,1719
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2016,634,797,987,1421,1658
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2015,638,766,949,1353,1593
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2014,621,745,924,1318,1551
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2013,595,714,885,1262,1486
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2012,621,675,814,1145,1333
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2011,680,747,884,1264,1478
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2010,671,738,873,1248,1460
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2009,644,708,838,1198,1401
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2008,607,667,789,1128,1319
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2007,574,630,746,1067,1247
"Salt Lake City, UT HUD Metro FMR Area",Salt Lake City,UT,2006,554,609,721,1031,1206
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2022,882,1039,1260,1623,2000
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2021,818,981,1198,1556,1928
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2020,755,916,1131,1476,1820
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2019,738,905,1126,1479,1811
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2018,691,853,1066,1407,1708
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2017,664,819,1028,1357,1631
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2016,636,788,990,1302,1524
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2015,588,742,931,1214,1332
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2014,576,726,912,1189,1304
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2013,586,738,927,1209,1326
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2012,590,656,810,1045,1269
"San Antonio-New Braunfels, TX HUD Metro FMR Area",San Antonio,TX,2011,653,722,896,1193,1435
"San Antonio, TX HUD Metro FMR Area",San Antonio,TX,2010,617,683,847,1128,1357
"San Antonio, TX HUD Metro FMR Area",San Antonio,TX,2009,615,679,843,1123,1350
"San Antonio, TX HUD Metro FMR Area",San Antonio,TX,2008,606,670,831,1107,1331
"San Antonio, TX HUD Metro FMR Area",San Antonio,TX,2007,555,613,761,1014,1219
"San Antonio, TX HUD Metro FMR Area",San Antonio,TX,2006,534,590,732,975,1173
"San Diego-Carlsbad, CA MSA",San Diego,CA,2022,1714,1896,2433,3378,4137
"San Diego-Carlsbad, CA MSA",San Diego,CA,2021,1569,1743,2254,3170,3903
"San Diego-Carlsbad, CA MSA",San Diego,CA,2020,1490,1662,2161,3070,3794
"San Diego-Carlsbad, CA MSA",San Diego,CA,2019,1422,1590,2068,2962,3632
"San Diego-Carlsbad, CA MSA",San Diego,CA,2018,1257,1400,1816,2612,3198
"San Diego-Carlsbad, CA MSA",San Diego,CA,2017,1212,1342,1741,2507,3068
"San Diego-Carlsbad, CA MSA",San Diego,CA,2016,1134,1256,1634,2362,2539
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2015,1049,1153,1512,2198,2678
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2014,1019,1119,1468,2134,2600
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2013,1037,1140,1495,2174,2648
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2012,1054,1206,1476,2099,2593
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2011,1096,1251,1518,2213,2669
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2010,1032,1177,1429,2083,2512
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2009,1024,1168,1418,2067,2493
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2008,978,1117,1355,1976,2382
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2007,870,993,1205,1757,2118
"San Diego-Carlsbad-San Marcos, CA MSA",San Diego,CA,2006,836,954,1158,1688,2036
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2022,2317,2879,3486,4365,4793
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2021,2447,3044,3700,4756,5176
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2020,2288,2833,3477,4545,4849
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2019,2155,2667,3302,4326,4575
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2018,2179,2704,3377,4404,4692
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2017,2072,2610,3266,4250,5225
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2016,1559,2003,2527,3297,3926
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2015,1378,1794,2263,3074,3717
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2014,1307,1701,2146,2915,3524
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2013,1205,1569,1979,2688,3250
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2012,1339,1646,2060,2750,2907
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2011,1330,1631,2046,2715,2916
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2010,1206,1479,1856,2463,2645
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2009,1136,1393,1748,2320,2491
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2008,1091,1338,1679,2228,2393
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2007,1106,1356,1702,2259,2425
"San Francisco, CA HUD Metro FMR Area",San Francisco,CA,2006,1095,1343,1685,2236,2401
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2022,2362,2663,3158,4060,4639
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2021,2354,2702,3223,4209,4852
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2020,2221,2596,3137,4165,4780
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2019,2062,2446,2999,4045,4642
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2018,1873,2217,2753,3785,4303
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2017,1641,1931,2418,3353,3861
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2016,1471,1726,2175,3029,3379
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2015,1317,1541,1965,2771,3141
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2014,1190,1392,1775,2503,2837
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2013,1160,1357,1730,2440,2766
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2012,1249,1447,1739,2501,2753
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2011,1324,1556,1837,2638,2893
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2010,1165,1369,1616,2321,2545
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2009,1030,1210,1428,2051,2249
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2008,954,1121,1323,1900,2084
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2007,948,1114,1315,1888,2071
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",San Jose,CA,2006,939,1103,1302,1870,2051
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2022,1789,1859,2185,2989,3512
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2021,1659,1741,2076,2903,3421
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2020,1738,1860,2243,3198,3766
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2019,1513,1664,2029,2921,3449
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2018,1456,1633,2006,2904,3438
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2017,1184,1353,1673,2427,2876
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2016,1136,1327,1650,2405,2835
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2015,1053,1246,1533,2259,2715
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2014,828,980,1206,1777,2136
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2013,817,967,1190,1754,2108
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2012,861,981,1181,1669,2038
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2011,919,1048,1263,1800,2218
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2010,818,933,1124,1602,1974
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2009,764,872,1050,1496,1844
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2008,729,832,1002,1428,1760
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2007,660,752,906,1291,1591
"Seattle-Bellevue, WA HUD Metro FMR Area",Seattle,WA,2006,648,739,890,1268,1563
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2022,1125,1197,1452,1867,2299
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2021,1070,1125,1375,1786,2194
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2020,1002,1050,1292,1687,2062
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2019,917,978,1209,1584,1915
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2018,817,899,1116,1466,1768
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2017,762,870,1083,1432,1718
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2016,712,848,1058,1407,1680
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2015,650,815,1022,1364,1633
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2014,643,806,1011,1349,1616
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2013,618,775,972,1297,1553
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2012,724,804,972,1232,1487
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2011,736,824,992,1278,1557
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2010,758,848,1021,1315,1603
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2009,748,838,1008,1298,1583
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2008,698,782,941,1212,1477
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2007,647,725,872,1123,1369
"Tampa-St. Petersburg-Clearwater, FL MSA",Tampa,FL,2006,622,696,838,1079,1316